Name,Price,Kms_driven,Fuel_type,Year,Company
Ford Figo Duratec Petrol EXI 1.2 - 2015,"3,80,000","35,056 kms ",Petrol,2015,Ford
Maruti Suzuki Wagon R VXI BS IV - 2016,"4,65,000","44,000 kms ",Petrol,2016,Maruti
Hyundai Creta 1.6 SX PLUS AUTO PETROL - 2018,"13,50,000","42,917 kms ",Petrol,2018,Hyundai
Hyundai Venue - 2019,"10,19,699","16,112 kms ",Petrol,2019,Hyundai
Honda Jazz - 2017,"7,13,499","30,988 kms ",Petrol,2017,Honda
Hyundai i20 - 2013,"3,91,099","69,163 kms ",Diesel,2013,Hyundai
Maruti Suzuki Swift Dzire VXi 1.2 BS IV - 2015,"4,74,299","42,859 kms ",Petrol,2015,Maruti
Toyota Corolla Altis VL AT - 2017,"12,52,999","34,919 kms ",Petrol,2017,Toyota
Honda Amaze - 2013,"3,93,699","44,940 kms ",Petrol,2013,Honda
Hyundai Elite i20 Asta 1.2 - 2017,"7,30,899","13,687 kms ",Petrol,2017,Hyundai
Maruti Suzuki Alto 800 Vxi O  - 2018,"3,43,099","29,848 kms ",Petrol,2018,Maruti
Honda Jazz - 2018,"7,07,599","21,426 kms ",Petrol,2018,Honda
Maruti Suzuki Baleno - 2016,"6,88,899","68,177 kms ",Diesel,2016,Maruti
Jeep Compass - 2017,"14,21,599","70,650 kms ",Diesel,2017,Jeep
Maruti Suzuki Alto K10 Vxi O AMT - 2017,"3,99,999","25,730 kms ",Petrol,2017,Maruti
Kia Seltos - 2019,"14,73,299","47,096 kms ",Petrol,2019,Kia
Toyota Innova 2.5 VX BS III 7 STR - 2012,"10,25,000","1,31,000 kms ",Diesel,2012,Toyota
Hyundai Elite i20 ASTA 1.2 O  - 2016,"7,35,000","26,000 kms ",Petrol,2016,Hyundai
Hyundai Creta 1.6 CRDI SX PLUS AUTO - 2019,"6,00,000","58,460 kms ",Diesel,2019,Hyundai
Kia Seltos - 2020,"8,00,000","48,000 kms ",Petrol,2020,Kia
Maruti Suzuki Ciaz DELTA 1.4 VVT - 2017,"7,00,000","26,600 kms ",Petrol,2017,Maruti
Ford EcoSport Titanium 1.5L Ti VCT - 2019,"8,20,000","36,000 kms ",Petrol,2019,Ford
Tata Nano Twist XT - 2014,"1,95,000","39,500 kms ",Petrol,2014,Tata
Audi Q7 3.0 TDI quattro Premium Plus - 2011,"18,50,000","76,000 kms ",Diesel,2011,Audi
Ford Ecosport - 2017,"8,07,499","23,698 kms ",Petrol,2017,Ford
Hyundai Grand i10 - 2016,"5,22,999","37,860 kms ",Petrol,2016,Hyundai
Maruti Suzuki Swift Dzire VXi 1.2 BS IV - 2015,"4,74,299","91,830 kms ",Petrol,2015,Maruti
Hyundai Elite i20 - 2019,"7,40,899","31,172 kms ",Petrol,2019,Hyundai
Toyota Yaris - 2021,"11,41,999","3,243 kms ",Petrol,2021,Toyota
Tata Nexon - 2020,"9,71,299","9,616 kms ",Petrol,2020,Tata
Maruti Suzuki Baleno - 2017,"6,40,999","30,249 kms ",Petrol,2017,Maruti
Maruti Suzuki Baleno - 2019,"6,76,199","60,875 kms ",Petrol,2019,Maruti
Maruti Suzuki Swift Vxi - 2017,"5,62,399","25,740 kms ",Petrol,2017,Maruti
Ford Ecosport 1.0 Ecoboost Titanium Optional - 2014,"5,80,899","38,587 kms ",Petrol,2014,Ford
Renault Triber - 2021,"7,70,999","3,108 kms ",Petrol,2021,Renault
Honda Amaze - 2016,"5,31,399","35,353 kms ",Petrol,2016,Honda
Hyundai EON Magna Plus - 2017,"3,67,299","34,748 kms ",Petrol,2017,Hyundai
Maruti Suzuki Alto Lxi - 2020,"4,12,199","2,359 kms ",Petrol,2020,Maruti
Hyundai Creta S CRDi - 2020,"14,60,099","17,814 kms ",Diesel,2020,Hyundai
Maruti Suzuki Baleno - 2018,"6,18,699","68,934 kms ",Petrol,2018,Maruti
Hyundai i20 Asta 1.2 - 2014,"4,85,000","72,600 kms ",Petrol,2014,Hyundai
BMW 3 Series 320d Corporate Edition - 2010,"8,90,000","81,000 kms ",Diesel,2010,BMW
Nissan Micra XV Diesel - 2012,"2,45,000","80,000 kms ",Diesel,2012,Nissan
Toyota Glanza V CVT - 2020,"9,45,000","12,000 kms ",Petrol,2020,Toyota
Maruti Suzuki Swift LXi 1.2 BS IV - 2016,"5,90,000","6,000 kms ",Petrol,2016,Maruti
Honda Brio S MT - 2017,"4,95,000","56,000 kms ",Petrol,2017,Honda
Maruti Suzuki Wagon R VXi BS III - 2017,"4,75,000","56,000 kms ",Petrol,2017,Maruti
MG Motors Hector - 2020,"12,00,000","36,000 kms ",Diesel,2020,MG
Maruti Suzuki Wagon R 1.0 Vxi - 2017,"4,90,199","15,840 kms ",Petrol,2017,Maruti
Maruti Suzuki Baleno - 2018,"6,18,699","68,934 kms ",Petrol,2018,Maruti
